id,name,fuel,capex,fom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,node,max_build,min_build,initial_capacity,unit_type,scenarios
105,GULLRWF1,wind,0,26.73,0,0,0,0,SNSW,0,0,0.1655,wind,
106,GULLRWF2,wind,0,26.73,0,0,0,0,SNSW,0,0,0.11067,wind,
107,GUNNING1,wind,0,26.73,0,0,0,0,SNSW,0,0,0.0465,wind,
108,SAPHWF1,wind,0,26.73,0,0,0,0,NNSW,0,0,0.27,wind,
109,STWF1,wind,0,26.73,0,0,0,0,SNSW,0,0,0.19801,wind,
110,TARALGA1,wind,0,26.73,0,0,0,0,CNSW,0,0,0.1068,wind,
111,WOODLWN1,wind,0,26.73,0,0,0,0,SNSW,0,0,0.0483,wind,
112,WRWF1,wind,0,26.73,0,0,0,0,NNSW,0,0,0.17248,wind,
113,COOPGWF1,wind,0,26.73,0,0,0,0,SQ,0,0,0.43997,wind,
114,KABANWF1,wind,0,26.73,0,0,0,0,NQ,0,0,0.15198,wind,
115,KEPWF1,wind,0,26.73,0,0,0,0,NQ,0,0,0.0432,wind,
116,MEWF1,wind,0,26.73,0,0,0,0,NQ,0,0,0.18046,wind,
117,ARWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.24,wind,
118,BALDHWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.1066,wind,
119,BRYB1WF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.17591,wind,
120,BRYB2WF2,wind,0,26.73,0,0,0,0,VIC,0,0,0.10519,wind,
121,BULGANA1,wind,0,26.73,0,0,0,0,VIC,0,0,0.2044,wind,
122,CHALLHWF,wind,0,26.73,0,0,0,0,VIC,0,0,0.0525,wind,
123,CHYTWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.0576,wind,
124,CROWLWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.07995,wind,
125,DUNDWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.168,wind,
126,DUNDWF2,wind,0,26.73,0,0,0,0,VIC,0,0,0.0462,wind,
127,DUNDWF3,wind,0,26.73,0,0,0,0,VIC,0,0,0.1218,wind,
128,ELAINWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.0836,wind,
129,KIATAWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.03105,wind,
130,MACARTH1,wind,0,26.73,0,0,0,0,VIC,0,0,0.42,wind,
131,MERCER01,wind,0,26.73,0,0,0,0,VIC,0,0,0.1312,wind,
132,MLWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.0195,wind,
133,MOORAWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.312,wind,
134,MRTLSWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.1575,wind,
135,MTGELWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.132,wind,
136,MUWAWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.2257,wind,
137,MUWAWF2,wind,0,26.73,0,0,0,0,VIC,0,0,0.209,wind,
138,OAKLAND1,wind,0,26.73,0,0,0,0,VIC,0,0,0.063,wind,
139,PORTWF,wind,0,26.73,0,0,0,0,VIC,0,0,0.1517,wind,
140,SALTCRK1,wind,0,26.73,0,0,0,0,VIC,0,0,0.054,wind,
141,STOCKYD1,wind,0,26.73,0,0,0,0,VIC,0,0,0.51099,wind,
142,WAUBRAWF,wind,0,26.73,0,0,0,0,VIC,0,0,0.192,wind,
143,YAMBUKWF,wind,0,26.73,0,0,0,0,VIC,0,0,0.03,wind,
144,YENDWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.1444,wind,
145,YSWF1,wind,0,26.73,0,0,0,0,VIC,0,0,0.0287,wind,
146,BLUFF1,wind,0,26.73,0,0,0,0,CSA,0,0,0.0525,wind,
147,CATHROCK,wind,0,26.73,0,0,0,0,CSA,0,0,0.062,wind,
148,CLEMGPWF,wind,0,26.73,0,0,0,0,CSA,0,0,0.0567,wind,
149,CNUNDAWF,wind,0,26.73,0,0,0,0,SESA,0,0,0.046,wind,
150,HALLWF1,wind,0,26.73,0,0,0,0,CSA,0,0,0.0945,wind,
151,HALLWF2,wind,0,26.73,0,0,0,0,CSA,0,0,0.0714,wind,
152,HDWF1,wind,0,26.73,0,0,0,0,CSA,0,0,0.1,wind,
153,HDWF2,wind,0,26.73,0,0,0,0,CSA,0,0,0.1,wind,
154,HDWF3,wind,0,26.73,0,0,0,0,CSA,0,0,0.10899,wind,
155,LGAPWF1,wind,0,26.73,0,0,0,0,CSA,0,0,0.1225,wind,
156,LGAPWF2,wind,0,26.73,0,0,0,0,CSA,0,0,0.084,wind,
157,LKBONNY1,wind,0,26.73,0,0,0,0,SESA,0,0,0.0805,wind,
158,LKBONNY2,wind,0,26.73,0,0,0,0,SESA,0,0,0.159,wind,
159,LKBONNY3,wind,0,26.73,0,0,0,0,SESA,0,0,0.039,wind,
160,MTMILLAR,wind,0,26.73,0,0,0,0,CSA,0,0,0.07228,wind,
161,NBHWF1,wind,0,26.73,0,0,0,0,CSA,0,0,0.13198,wind,
162,PAREPW1,wind,0,26.73,0,0,0,0,CSA,0,0,0.21,wind,
163,SNOWNTH1,wind,0,26.73,0,0,0,0,CSA,0,0,0.144,wind,
164,SNOWSTH1,wind,0,26.73,0,0,0,0,CSA,0,0,0.126,wind,
165,SNOWTWN1,wind,0,26.73,0,0,0,0,CSA,0,0,0.0987,wind,
166,STARHLWF,wind,0,26.73,0,0,0,0,CSA,0,0,0.033,wind,
167,WATERLWF,wind,0,26.73,0,0,0,0,CSA,0,0,0.1308,wind,
168,WGWF1,wind,0,26.73,0,0,0,0,CSA,0,0,0.11936,wind,
169,WPWF,wind,0,26.73,0,0,0,0,CSA,0,0,0.09075,wind,
170,CTHLWF1,wind,0,26.73,0,0,0,0,TAS,0,0,0.144,wind,
171,GRANWF1,wind,0,26.73,0,0,0,0,TAS,0,0,0.1116,wind,
172,MUSSELR1,wind,0,26.73,0,0,0,0,TAS,0,0,0.168,wind,
173,WOOLNTH1,wind,0,26.73,0,0,0,0,TAS,0,0,0.13975,wind,
174,AVLSF1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.18998,solar,
175,BERYLSF1,solar,0,18.18,0,0,0,0,CNSW,0,0,0.087,solar,
176,BOMENSF1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.09988,solar,
177,BROKENH1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.053,solar,
178,COLEASF1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.15093,solar,
179,CRWASF1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.03,solar,
180,DARLSF1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.27496,solar,
181,FINLYSF1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.13266,solar,
182,GNNDHSF1,solar,0,18.18,0,0,0,0,NNSW,0,0,0.11,solar,
183,GOONSF1,solar,0,18.18,0,0,0,0,CNSW,0,0,0.06975,solar,
184,GULLRSF1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.01,solar,
185,HILLSTN1,solar,0,18.18,0,0,0,0,SNSW,0,0,0.085,solar,
186,JEMALNG1,solar,0,18.18,0,0,0,0,CNSW,0,0,0.05,solar,
