id,name,initial_power_capacity,initial_energy_capacity,duration,capex_p,capex_e,fom,vom,lifetime,discount_rate,node,charge_efficiency,discharge_efficiency,max_build_p,max_build_e,min_build_p,min_build_e,unit_type,scenarios
25,WALGRVG1,0.05,0.075,0,0,0,10.8,0,0,0,SNW,0.916515,0.916515,0,0,0,0,,
26,WANDBG1,0.1,0.15,0,0,0,10.8,0,0,0,SQ,0.916515,0.916515,0,0,0,0,,
27,BALBG1,0.0199,0.03,0,0,0,7.59,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
28,BULBESG1,0.02,0.034,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
29,GANNBG1,0.02533,0.05,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
30,PIBESSG1,0.005,0.01,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
31,VBBG1,0.3,0.45,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
32,ADPBA1G,0.006,0.0126,0,0,0,10.8,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
33,BOWWBA1G,0.002,0.00504,0,0,0,10.8,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
34,CBWWBA1G,0.002,0.00432,0,0,0,10.8,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
35,DALNTH01,0.03,0.009,0,0,0,7.59,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
36,HPRG1,0.15,0.1783,0,0,0,7.59,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
37,HVWWBA1G,0.004,0.00882,0,0,0,10.8,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
38,LBBG1,0.025,0.052,0,0,0,10.8,0,0,0,SESA,0.916515,0.916515,0,0,0,0,,
39,TIBG1,0.2507,0.25,0,0,0,7.59,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
40,Broken Hill BESS,0.05,0.05,0,0,0,7.59,0,0,0,SNSW,0.916515,0.916515,0,0,0,0,,
41,CAPBES1G,0.09999,0.2,0,0,0,10.8,0,0,0,SNSW,0.916515,0.916515,0,0,0,0,,
42,DPNTBG1,0.025,0.05,0,0,0,10.8,0,0,0,SNSW,0.916515,0.916515,0,0,0,0,,
43,RESS1G,0.06,0.12,0,0,0,10.8,0,0,0,SNSW,0.916515,0.916515,0,0,0,0,,
44,RIVNBG2,0.065,0.13,0,0,0,10.8,0,0,0,SNSW,0.916515,0.916515,0,0,0,0,,
45,WARATAH,0.850176,1.679,0,0,0,10.8,0,0,0,SNW,0.916515,0.916515,0,0,0,0,,
46,HBESSG1,0.15,0.162,0,0,0,7.59,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
47,Rangebank BESS,0.2,0.4,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
48,TB2BG1,0.0415,0.084,0,0,0,10.8,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
49,Eraring Big Battery,0.46,0.92,0,0,0,10.8,0,0,0,SNW,0.916515,0.916515,0,0,0,0,,
50,Liddell BESS,0.5,2,0,0,0,17.32,0,0,0,CNSW,0.921954,0.921954,0,0,0,0,,
51,Lockhart Hybrid Facility - Battery,0.0099,0.02,0,0,0,10.8,0,0,0,SNSW,0.916515,0.916515,0,0,0,0,,
52,New England Solar Farm BESS,0.2,0.2,0,0,0,7.59,0,0,0,NNSW,0.916515,0.916515,0,0,0,0,,
53,Orana BESS,0.40848,1.66,0,0,0,17.32,0,0,0,CNSW,0.921954,0.921954,0,0,0,0,,
54,Quorn Park BESS,0.02,0.04,0,0,0,7.59,0,0,0,CNSW,0.916515,0.916515,0,0,0,0,,
55,Richmond Valley BESS,0.275,2.2,0,0,0,30.6889,0,0,0,NNSW,0.911043,0.911043,0,0,0,0,,
56,Sapphire Wind Farm Battery,0.03,0.038,0,0,0,7.59,0,0,0,NNSW,0.916515,0.916515,0,0,0,0,,
57,Tamworth BESS,0.2,0.4,0,0,0,10.8,0,0,0,NNSW,0.916515,0.916515,0,0,0,0,,
58,Aldoga BESS Stage 1,0.4,0.4,0,0,0,7.59,0,0,0,GG,0.916515,0.916515,0,0,0,0,,
59,BBATTERY,0.05,0.1,0,0,0,10.8,0,0,0,CQ,0.916515,0.916515,0,0,0,0,,
60,Chinchilla BESS,0.1,0.2,0,0,0,10.8,0,0,0,SQ,0.916515,0.916515,0,0,0,0,,
61,Mt Fox BESS,0.3,0.6,0,0,0,10.8,0,0,0,NQ,0.916515,0.916515,0,0,0,0,,
62,Stanwell BESS,0.15,0.3,0,0,0,10.8,0,0,0,CQ,0.916515,0.916515,0,0,0,0,,
63,Swanbank BESS,0.25,0.5,0,0,0,10.8,0,0,0,SQ,0.916515,0.916515,0,0,0,0,,
64,Tarong BESS,0.3,0.3,0,0,0,7.59,0,0,0,SQ,0.916515,0.916515,0,0,0,0,,
65,Ulinda Park BESS,0.15496,0.298,0,0,0,10.8,0,0,0,SQ,0.916515,0.916515,0,0,0,0,,
66,Western Downs Battery,0.2548,0.4,0,0,0,10.8,0,0,0,SQ,0.916515,0.916515,0,0,0,0,,
67,Gnarwarre BESS,0.25,0.55,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
68,Koorangie Energy Storage System,0.185,0.37,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
69,Melbourne Renewable Energy Hub - Side A,0.6,1.6,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
70,Mornington BESS,0.24,0.48,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
71,Mortlake Battery,0.3,0.6,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
72,TRGBESS,0.1015,0.2,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
73,Wooreen Battery,0.35,1.4,0,0,0,17.32,0,0,0,VIC,0.921954,0.921954,0,0,0,0,,
74,Blyth BESS,0.2,0.4,0,0,0,10.8,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
75,Bungama Solar BESS,0.15,0.3,0,0,0,10.8,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
76,Lincoln Gap Wind Farm BESS,0.01,0.01,0,0,0,7.59,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
77,Templers BESS,0.111,0.291,0,0,0,10.8,0,0,0,CSA,0.916515,0.916515,0,0,0,0,,
78,Goulburn River BESS,0.049,0.392,0,0,0,30.6889,0,0,0,CNSW,0.911043,0.911043,0,0,0,0,,
79,Limondale BESS,0.05,0.4,0,0,0,30.6889,0,0,0,SNSW,0.911043,0.911043,0,0,0,0,,
80,Silver City Energy Storage,0.2,1.6,0,0,0,32.079,4.2772,0,0,SNSW,0.0081,0.0081,0,0,0,0,,
81,Derby Solar Project BESS,0.085,0.1,0,0,0,7.59,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
82,Fulham Solar Farm BESS,0.0648,0.116,0,0,0,7.59,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
83,Horsham Solar Farm BESS,0.05001,0.1,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
84,Kiamal Solar Farm Stage 2 BESS,0.15004,0.3,0,0,0,10.8,0,0,0,VIC,0.916515,0.916515,0,0,0,0,,
85,QEJP - Borumba,1.998,48,0,0,0,19.0925,0,0,0,SQ,0.76,1,0,0,0,0,,
86,CNSW Battery - 1h,0,0,1,1073.0426,0,7.592,0,20,7,CNSW,0.9165,0.9165,50,0,0,0,,
87,CNSW Battery - 2h,0,0,2,1516.8021,0,10.7999,0,20,7,CNSW,0.9165,0.9165,50,0,0,0,,
88,CNSW Battery - 4h,0,0,4,2412.8755,0,17.3227,0,20,7,CNSW,0.922,0.922,50,0,0,0,,
89,CNSW Battery - 8h,0,0,8,4184.9194,0,30.6889,0,20,7,CNSW,0.911,0.911,50,0,0,0,,
90,N2 Battery - 2h,0,0,2,1516.8021,0,10.7999,0,20,7,NNSW,0.9165,0.9165,50,0,0,0,,
91,N2 Battery - 8h,0,0,8,4184.9194,0,30.6889,0,20,7,NNSW,0.911,0.911,50,0,0,0,,
92,NNSW Battery - 1h,0,0,1,1073.0426,0,7.592,0,20,7,NNSW,0.9165,0.9165,50,0,0,0,,
93,NNSW Battery - 2h,0,0,2,1516.8021,0,10.7999,0,20,7,NNSW,0.9165,0.9165,50,0,0,0,,
94,NNSW Battery - 4h,0,0,4,2412.8755,0,17.3227,0,20,7,NNSW,0.922,0.922,50,0,0,0,,
95,NNSW Battery - 8h,0,0,8,4184.9194,0,30.6889,0,20,7,NNSW,0.911,0.911,50,0,0,0,,
96,SNSW Battery - 1h,0,0,1,1073.0426,0,8.1994,0,20,7,SNSW,0.9165,0.9165,50,0,0,0,,
97,SNSW Battery - 2h,0,0,2,1516.8021,0,11.6639,0,20,7,SNSW,0.9165,0.9165,50,0,0,0,,
98,SNSW Battery - 4h,0,0,4,2412.8755,0,18.7085,0,20,7,SNSW,0.922,0.922,50,0,0,0,,
99,SNSW Battery - 8h,0,0,8,4184.9194,0,33.144,0,20,7,SNSW,0.911,0.911,50,0,0,0,,
100,SNW Battery - 1h,0,0,1,1073.0426,0,7.592,0,20,7,SNW,0.9165,0.9165,50,0,0,0,,
101,SNW Battery - 2h,0,0,2,1516.8021,0,10.7999,0,20,7,SNW,0.9165,0.9165,50,0,0,0,,
102,SNW Battery - 4h,0,0,4,2412.8755,0,17.3227,0,20,7,SNW,0.922,0.922,50,0,0,0,,
103,SNW Battery - 8h,0,0,8,4184.9194,0,30.6889,0,20,7,SNW,0.911,0.911,50,0,0,0,,
104,CQ Battery - 1h,0,0,1,1098.884,0,7.592,0,20,7,CQ,0.9165,0.9165,50,0,0,0,,
105,CQ Battery - 2h,0,0,2,1542.6435,0,10.7999,0,20,7,CQ,0.9165,0.9165,50,0,0,0,,
106,CQ Battery - 4h,0,0,4,2438.7169,0,17.3227,0,20,7,CQ,0.922,0.922,50,0,0,0,,
107,CQ Battery - 8h,0,0,8,4210.7608,0,30.6889,0,20,7,CQ,0.911,0.911,50,0,0,0,,
108,GG Battery - 1h,0,0,1,1098.884,0,7.592,0,20,7,GG,0.9165,0.9165,50,0,0,0,,
109,GG Battery - 2h,0,0,2,1542.6435,0,10.7999,0,20,7,GG,0.9165,0.9165,50,0,0,0,,
110,GG Battery - 4h,0,0,4,2438.7169,0,17.3227,0,20,7,GG,0.922,0.922,50,0,0,0,,
111,GG Battery - 8h,0,0,8,4210.7608,0,30.6889,0,20,7,GG,0.911,0.911,50,0,0,0,,
112,NQ Battery - 1h,0,0,1,1098.884,0,7.592,0,20,7,NQ,0.9165,0.9165,50,0,0,0,,
113,NQ Battery - 2h,0,0,2,1542.6435,0,10.7999,0,20,7,NQ,0.9165,0.9165,50,0,0,0,,
114,NQ Battery - 4h,0,0,4,2438.7169,0,17.3227,0,20,7,NQ,0.922,0.922,50,0,0,0,,
115,NQ Battery - 8h,0,0,8,4210.7608,0,30.6889,0,20,7,NQ,0.911,0.911,50,0,0,0,,
116,SQ Battery - 1h,0,0,1,1098.884,0,7.592,0,20,7,SQ,0.9165,0.9165,50,0,0,0,,
117,SQ Battery - 2h,0,0,2,1542.6435,0,10.7999,0,20,7,SQ,0.9165,0.9165,50,0,0,0,,
